 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|            Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                          |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
| Date  | Time  |    Sequence        | #Img | QPI| QPP| QPB| Format  | #B | Hdmd | S.R |#Ref | Freq |Intra upd|SNRY 1|SNRU 1|SNRV 1|SNRY N|SNRU N|SNRV N|#Bitr P|#Bitr B|     Total Time   |      Me Time     |
| 05/23 | 22:44 |oreman_part_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.387|41.260|42.850|37.013|41.003|42.534| 341760|      0|           1734   |            377   |
| 05/23 | 22:45 |oreman_part_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.387|41.260|42.850|37.013|41.003|42.534| 341760|      0|           3296   |            449   |
| 05/27 | 20:28 |oreman_part_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.387|41.260|42.850|37.013|41.003|42.534| 341760|      0|           3077   |            408   |
| 05/29 | 22:12 |oreman_part_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.387|41.260|42.850|37.013|41.003|42.534| 341760|      0|           3172   |            403   |
| 05/29 | 23:12 |          myfavs.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.944|41.735|42.069|37.669|41.719|42.049| 239680|      0|           1640   |            517   |
| 05/29 | 23:13 |          myfavs.yuv|   20 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.944|41.735|42.069|37.078|41.687|41.954|  77388|      0|          42467   |          21301   |
| 06/01 | 23:57 |          myfavs.yuv|   20 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.944|41.735|42.069|37.078|41.687|41.954|  77388|      0|          44967   |          22357   |
| 06/04 | 20:37 |          myfavs.yuv|   20 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.944|41.735|42.069|37.078|41.687|41.954|  77388|      0|          41029   |          20648   |
| 06/04 | 21:56 |          myfavs.yuv|   20 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.944|41.735|42.069|37.078|41.687|41.954|  77388|      0|          40954   |          20536   |
| 06/04 | 22:38 |          myfavs.yuv|   20 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.944|41.735|42.069|37.078|41.687|41.954|  77388|      0|          38174   |          19316   |
